time,amount
8:23:00 PM,5
12:12:00 AM,5
8:37:00 PM,5
9:48:00 PM,5
4:05:00 AM,5
7:50:00 AM,5
3:35:00 AM,5
10:57:00 PM,5
2:10:00 PM,5
10:19:00 PM,5
11:22:00 PM,5
7:11:00 PM,5
7:17:00 PM,5
9:35:00 AM,5
7:01:00 PM,5
3:53:00 AM,5
9:06:00 PM,5
3:10:00 AM,5
11:21:00 PM,5
10:22:00 PM,5
7:47:00 PM,5
9:47:00 PM,5
9:02:00 PM,5
10:36:00 PM,5
9:56:00 PM,5
7:05:00 AM,5
10:23:00 PM,5
8:42:00 PM,5
3:40:00 PM,5
3:10:00 PM,5
9:10:00 AM,5
7:18:00 PM,5
7:12:00 PM,5
8:02:00 PM,5
5:05:00 AM,5
11:54:00 PM,5
10:48:00 PM,5
11:12:00 PM,5
7:48:00 PM,5
10:43:00 PM,5
10:16:00 PM,5
8:18:00 PM,5
12:10:00 PM,5
10:44:00 PM,5
8:31:00 PM,4
10:03:00 PM,4
10:28:00 PM,4
1:25:00 PM,4
3:50:00 PM,4
7:40:00 AM,4
12:38:00 AM,4
10:52:00 PM,4
11:23:00 PM,4
1:27:00 AM,4
9:24:00 PM,4
8:04:00 PM,4
10:26:00 PM,4
1:55:00 AM,4
8:29:00 PM,4
7:35:00 AM,4
11:27:00 PM,4
6:03:00 PM,4
7:43:00 PM,4
10:08:00 PM,4
6:43:00 PM,4
10:11:00 PM,4
10:42:00 PM,4
6:58:00 PM,4
7:59:00 PM,4
9:14:00 PM,4
8:20:00 AM,4
9:43:00 PM,4
7:03:00 PM,4
9:36:00 PM,4
7:02:00 PM,4
12:07:00 AM,4
1:38:00 AM,4
6:17:00 PM,4
7:23:00 PM,4
3:25:00 AM,4
10:41:00 PM,4
1:04:00 AM,4
7:58:00 PM,4
8:10:00 AM,4
4:12:00 AM,4
2:40:00 PM,4
12:02:00 AM,4
11:17:00 PM,4
10:42:00 AM,4
11:56:00 PM,4
10:50:00 AM,4
8:56:00 PM,4
6:31:00 PM,4
7:38:00 PM,4
4:20:00 PM,4
9:44:00 PM,4
2:50:00 AM,4
2:35:00 PM,4
9:19:00 PM,4
9:04:00 PM,4
7:32:00 PM,4
8:52:00 PM,4
10:20:00 AM,4
7:28:00 PM,4
7:13:00 PM,3
10:25:00 AM,3
10:10:00 AM,3
